id,projectName,fullAddress,landmark,pincode,type,configurationId,price,listingType,furnishedType,furnishingType,city
cmf53kkzy000fvcu8tx8jwjmr,Ashwini,Mumbai chembur,Babys school,411017,1.0,cmf53kkzz000ivcu89r5399s4,111.11,Sell,UNFURNISHED,,Mumbai
cmf53kkzy000fvcu8tx8jwjmr,Ashwini,Mumbai chembur,Babys school,411017,2.0,cmf53kl00000kvcu86ivy65di,222.22,Sell,UNFURNISHED,,Mumbai
cmf5r6hv00001vxptnfichhfl,Pristine02,"sr no 13 beside godrej, opposite to mca stadium, sai nagar, mamurdi, pune ",Sai nagar ,412101,2.0,cmf5r6hv20004vxpt0l657blu,1200.0,Sell,UNFURNISHED,,Pune
cmf5r6hv00001vxptnfichhfl,Pristine02,"sr no 13 beside godrej, opposite to mca stadium, sai nagar, mamurdi, pune ",Sai nagar ,412101,2.0,cmf5r6hv20004vxpt0l657blu,2100.0,Sell,UNFURNISHED,,Pune
cmfawdrno0007vc18l0fm0z2j,Gurukripa,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",Sindhi Society,400071,1.0,cmfawdrnq000avc18qcvaxzi9,130.0,Sell,UNFURNISHED,,Mumbai
cmfawdrno0007vc18l0fm0z2j,Gurukripa,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",Sindhi Society,400071,1.0,cmfawdrnq000avc18qcvaxzi9,150.0,Sell,UNFURNISHED,,Mumbai
cmfawdrno0007vc18l0fm0z2j,Gurukripa,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",Sindhi Society,400071,3.0,cmfawdrnr000dvc188hupv4yy,290.0,Sell,UNFURNISHED,,Mumbai
cmfawdrno0007vc18l0fm0z2j,Gurukripa,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",Sindhi Society,400071,2.0,cmfawdrnr000gvc18iunqlv98,260.0,Sell,UNFURNISHED,,Mumbai
cmfawdrno0007vc18l0fm0z2j,Gurukripa,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",Sindhi Society,400071,2.0,cmfawdrnr000gvc18iunqlv98,330.0,Sell,UNFURNISHED,,Mumbai
cmfaxq2oo0020vc1806nmle00,Hari om,"Cts 300, plot no 37, opposite midtown 71, Sindhi Society, Chembur, Mumbai, Maharashtra 400071",Sindhi Society,400069,1.0,cmfaxq2or0023vc18biodrtiy,130.0,Sell,UNFURNISHED,,Mumbai
cmfaxq2oo0020vc1806nmle00,Hari om,"Cts 300, plot no 37, opposite midtown 71, Sindhi Society, Chembur, Mumbai, Maharashtra 400071",Sindhi Society,400069,2.0,cmfaxq2os0025vc18y99ryrns,190.0,Sell,UNFURNISHED,,Mumbai
